sequence,contributor_id,skills
1,dimvar,"Array-like objects, Code modification, Data Types, Debugging, Dependency management, Documentation, Error handling, File handling, Function Overloading, Function pointers, Functions (`np.bincount`), GPU Support, Hardware Acceleration, Instruction Sets, Libraries (NumPy), Machine Learning Frameworks (TensorFlow), Memory Management, Neural Network Operations, Numerical Computation, Optimization Techniques, Performance Analysis, Profiling, Pull Request Submission, Pull requests (PRs), Python Programming, Software Development, Tensor Operations, TensorFlow Lite schema handling, TensorFlow installation and configuration, TensorFlow version (r1.1), Testing, Testing (`assert_array_equal`), Testing and validation of numerical computations, Testing frameworks (pytest), Testing**, Type Checking, Vector-Matrix Operations, Vectorization, Writing and debugging Python code, Writing and maintaining technical documentation"
2,sergachev,"Pull Request Submission, Pull requests (PRs), TensorFlow, Testing, Testing frameworks (pytest), Testing**, While Loop Trip Count Annotator"
3,jaro-sevcik,"Default Layout Enforcement, GPU Support, Memory Management, TensorFlow Lite Development, Testing Frameworks (PyTest), Version Control (Git)"
4,acxz,"Build Tool Versions, Repository Management, Version Control**"
5,chaserileyroberts,"Asynchronous programming, Asyncio, Collectives, Communication protocols, Distributed computing, GPU Support, NCCL (NVIDIA Collective Communications Library), Neural network hardware acceleration integration, Neural network operations legalization, Python programming, Python testing frameworks, Python version management, Python virtual environments, Python**, TensorFlow Lite development, TensorFlow Lite model manipulation, TensorFlow Lite schema handling, TensorFlow installation and configuration, TensorFlow version (r1.1), Testing and validation of numerical computations, Testing frameworks (pytest), Testing**"
6,kasper0406,"Function overloading, GPU Support, Hardware acceleration integration, Machine learning, Neural network operations, Optimization techniques for neural networks, TensorFlow, Type casting, Unit testing"
7,tyb0807,"Generic types, If statements, Switch statement, Template metaprogramming, Type casting, Type checking, Type promotion, Variable manipulation"
8,terryysun,"Code documentation, Code optimization, Code refactoring, Code review, Collaborating on code changes through pull requests, Collaborating with others through code reviews, Debugging, Error handling, Exception handling, Memory management, Pull Request Submission, Pull Requests (PRs), Repository management, Testing and validation of numerical computations, Testing frameworks (gtest), Unit testing, Version control (Git)"
9,vfdev-5,"Code Refactoring, Exception Handling, Testing Frameworks (pytest), Version Control (Git)"
10,jreiffers,"Code review, Debugging, Error handling, Git, Header file management, Pull Request Submission, Removing redundant code, Shape manipulation, Testing, Updating documentation, Updating test cases, Version control (Git)"
11,Cjkkkk,"Backward FMHA operation graph building, Bias tensor setting, Custom call target modification, DBias tensor setting, Dropout rate handling, FMHAMaskKind handling, Force deterministic handling, Graph tensor creation, Maximum segments per batch handling, Optional tensor descriptors, Scale handling, Seed handling, Sliding window length handling, Stride calculation, TensorDescriptor handling, TensorFlow Lite schema handling, TensorFlow installation and configuration, TensorFlow version (r1.1), Use bias handling, Use dropout handling"
12,philipphack,"Code modification, Code optimization, Code refactoring, Code review, Debugging, Git, Git version control system, Pull Request Submission, Pull Requests (PRs), Python dependency resolution, Python documentation generation, Python extension modules, Python packaging standards (PEP 517), Python programming, Python testing frameworks, Python version management, Python virtual environments, Python**, TensorFlow Lite development, TensorFlow Lite model manipulation, TensorFlow Lite schema handling, TensorFlow installation and configuration, TensorFlow version (r1.1), Testing and validation of numerical computations, Testing frameworks (pytest)"
13,chunhsue,"C++ programming, C/C++ programming, C/C++ programming language, Memory management, Memory-mapped files, Multi-threading, Neural network operations legalization, Quantization and dequantization methods, TensorFlow Lite schema handling, TensorFlow installation and configuration, TensorFlow version (r1.1), Type casting, Type hinting, Variable manipulation, Vector-Matrix operations, Vectorization"
